-4.37,0.8,5.09,0,,,-4.37%,0.80%,5.09%,0.00%
2.9,-0.48,-0.13,0,,,2.90%,-0.48%,-0.13%,0.00%
1.27,-3.96,-1.75,0,,,1.27%,-3.96%,-1.75%,0.00%
2.75,1.8,-7.76,0,,,2.75%,1.80%,-7.76%,0.00%
0.29,-0.28,7.04,0,,,0.29%,-0.28%,7.04%,0.00%
4.93,-3.11,-0.93,0,,,4.93%,-3.11%,-0.93%,0.00%
3.08,-2.41,7.41,0,,,3.08%,-2.41%,7.41%,0.00%
2.78,2.03,7.18,0,,,2.78%,2.03%,7.18%,0.00%
-0.03,7.12,2.99,0,,,-0.03%,7.12%,2.99%,0.00%
4.63,4.82,-1.43,0.01,,,4.63%,4.82%,-1.43%,0.01%
12.47,5.65,2.13,0.01,,,12.47%,5.65%,2.13%,0.01%
-2.1,4.41,4.16,0.01,,,-2.10%,4.41%,4.16%,0.01%
-3.63,0.02,-2.62,0.01,,,-3.63%,0.02%,-2.62%,0.01%
7.63,-0.26,-2.92,0.01,,,7.63%,-0.26%,-2.92%,0.01%
5.77,-2.28,-1.53,0.01,,,5.77%,-2.28%,-1.53%,0.01%
2.46,2.69,-2.04,0.01,,,2.46%,2.69%,-2.04%,0.01%
5.58,2.45,-4.8,0.01,,,5.58%,2.45%,-4.80%,0.01%
13.65,2.47,-1.18,0,,,13.65%,2.47%,-1.18%,0.00%
-13.38,-4.89,-14.02,0.12,,,-13.38%,-4.89%,-14.02%,0.12%
-8.13,1.03,-3.79,0.12,,,-8.13%,1.03%,-3.79%,0.12%
-0.11,-3.13,-6.24,0.13,,,-0.11%,-3.13%,-6.24%,0.13%
2.77,0.72,1.79,0.14,,,2.77%,0.72%,1.79%,0.14%
3.87,0.8,-2.02,0.12,,,3.87%,0.80%,-2.02%,0.12%
2.06,0.28,-1.93,0.15,,,2.06%,0.28%,-1.93%,0.15%
1.43,-0.97,6.83,0.18,,,1.43%,-0.97%,6.83%,0.18%
-2.58,-2.32,-4.95,0.16,,,-2.58%,-2.32%,-4.95%,0.16%
1.19,-1.94,0.42,0.19,,,1.19%,-1.94%,0.42%,0.19%
6.93,0.25,-0.71,0.18,,,6.93%,0.25%,-0.71%,0.18%
-6.94,-1.34,-2.37,0.21,,,-6.94%,-1.34%,-2.37%,0.21%
3.96,-1.74,2.17,0.21,,,3.96%,-1.74%,2.17%,0.21%
1.1,-2.98,-4.05,0.19,,,1.10%,-2.98%,-4.05%,0.19%
3.4,2.04,-2.68,0.18,,,3.40%,2.04%,-2.68%,0.18%
8.41,2.9,-0.44,0.21,,,8.41%,2.90%,-0.44%,0.21%
-9.55,-2.42,-1.9,0.19,,,-9.55%,-2.42%,-1.90%,0.19%
1.69,-0.68,0.26,0.18,,,1.69%,-0.68%,0.26%,0.18%
-7.68,-4.82,3.43,0.19,,,-7.68%,-4.82%,3.43%,0.19%
0.06,-2.3,-1.7,0.15,,,0.06%,-2.30%,-1.70%,0.15%
3.44,1.14,-3.98,0.16,,,3.44%,1.14%,-3.98%,0.16%
3.19,-2.25,0.45,0.16,,,3.19%,-2.25%,0.45%,0.16%
0.48,1.13,-2.33,0.14,,,0.48%,1.13%,-2.33%,0.14%
2.65,5.31,-3.13,0.14,,,2.65%,5.31%,-3.13%,0.14%
0.29,1.1,0.48,0.14,,,0.29%,1.10%,0.48%,0.14%
-2.35,4.06,-0.23,0.12,,,-2.35%,4.06%,-0.23%,0.12%
-3.65,0.26,-1.03,0.11,,,-3.65%,0.26%,-1.03%,0.11%
5.58,-3.18,-1.36,0.11,,,5.58%,-3.18%,-1.36%,0.11%
1.06,-1.32,0.03,0.09,,,1.06%,-1.32%,0.03%,0.09%
3.12,-0.56,-0.05,0.08,,,3.12%,-0.56%,-0.05%,0.08%
2.25,-1.93,0.22,0.09,,,2.25%,-1.93%,0.22%,0.09%
2.51,4.45,3.09,0.09,,,2.51%,4.45%,3.09%,0.09%
0.16,-1.65,-2.07,0.09,,,0.16%,-1.65%,-2.07%,0.09%
1.87,-1.46,-0.22,0.07,,,1.87%,-1.46%,-0.22%,0.07%
0.78,2.23,1.49,0.06,,,0.78%,2.23%,1.49%,0.06%
1.06,-2.52,-3.75,0.06,,,1.06%,-2.52%,-3.75%,0.06%
1.09,0.72,-2.13,0.05,,,1.09%,0.72%,-2.13%,0.05%
0.17,1.13,-3.33,0.03,,,0.17%,1.13%,-3.33%,0.03%
3.57,-2.04,-1.67,0.04,,,3.57%,-2.04%,-1.67%,0.04%
1.94,-1.13,-2.74,0.04,,,1.94%,-1.13%,-2.74%,0.04%
1.82,0.09,3.6,0.03,,,1.82%,0.09%,3.60%,0.03%
4.86,5.67,8.21,0.01,,,4.86%,5.67%,8.21%,0.01%
-2.02,-4.41,4.12,0.02,,,-2.02%,-4.41%,4.12%,0.02%
0.25,2.13,-1.21,0.02,,,0.25%,2.13%,-1.21%,0.02%
0.5,1.17,3.11,0.02,,,0.50%,1.17%,3.11%,0.02%
3.95,2.51,-1.29,0.02,,,3.95%,2.51%,-1.29%,0.02%
-0.05,0.58,-1.45,0.02,,,-0.05%,0.58%,-1.45%,0.02%
1.78,-0.19,-1.65,0.01,,,1.78%,-0.19%,-1.65%,0.01%
0.92,0.68,3.19,0.01,,,0.92%,0.68%,3.19%,0.01%
6.96,0.75,1.1,0.02,,,6.96%,0.75%,1.10%,0.02%
-0.08,0.81,-0.58,0.02,,,-0.08%,0.81%,-0.58%,0.02%
-5.77,-3.39,2.07,0.01,,,-5.77%,-3.39%,2.07%,0.01%
-2.17,-2.81,-2.59,0.01,,,-2.17%,-2.81%,-2.59%,0.01%
0.56,3.6,-0.39,0,,,0.56%,3.60%,-0.39%,0.00%
7.75,-1.86,-0.45,0,,,7.75%,-1.86%,-0.45%,0.00%
-3.07,-2.63,0.58,0,,,-3.07%,-2.63%,0.58%,0.00%
-6.04,0.36,2.8,0,,,-6.04%,0.36%,2.80%,0.00%
1.54,-4.2,-4.07,0,,,1.54%,-4.20%,-4.07%,0.00%
-1.53,2.9,-0.78,0,,,-1.53%,2.90%,-0.78%,0.00%
1.36,0.92,-1.13,0,,,1.36%,0.92%,-1.13%,0.00%
0.59,-3.04,1.83,0,,,0.59%,-3.04%,1.83%,0.00%
-1.12,3.07,-0.41,0,,,-1.12%,3.07%,-0.41%,0.00%
6.14,0.61,-1.87,0,,,6.14%,0.61%,-1.87%,0.00%
-3.11,-0.54,-3.61,0,,,-3.11%,-0.54%,-3.61%,0.00%
-0.06,2.5,2.27,0,,,-0.06%,2.50%,2.27%,0.00%
2.55,-2.05,-3.09,0,,,2.55%,-2.05%,-3.09%,0.00%
2.52,4.22,-1.83,0,,,2.52%,4.22%,-1.83%,0.00%
-1.97,-3.72,-1.35,0,,,-1.97%,-3.72%,-1.35%,0.00%
4.24,0.39,-0.44,0,,,4.24%,0.39%,-0.44%,0.00%
-2.04,-4.28,0.02,0,,,-2.04%,-4.28%,0.02%,0.00%
2.61,3.09,-0.69,0,,,2.61%,3.09%,-0.69%,0.00%
2.06,-1.89,-0.13,0,,,2.06%,-1.89%,-0.13%,0.00%
-0.19,-4.2,1.14,0,,,-0.19%,-4.20%,1.14%,0.00%
0.43,-1.87,4.92,0,,,0.43%,-1.87%,4.92%,0.00%
4.65,0.37,-0.31,0,,,4.65%,0.37%,-0.31%,0.00%
-3.32,0.92,-2.02,0,,,-3.32%,0.92%,-2.02%,0.00%
2.81,-0.46,-0.01,0,,,2.81%,-0.46%,-0.01%,0.00%
3.13,1.29,0.28,0,,,3.13%,1.29%,0.28%,0.00%
4.18,-1.56,1.26,0,,,4.18%,-1.56%,1.26%,0.00%
3.77,2.9,-1.23,0,,,3.77%,2.90%,-1.23%,0.00%
-2.71,0.26,-2.68,0,,,-2.71%,0.26%,-2.68%,0.00%
5.65,1.87,0.57,0,,,5.65%,1.87%,0.57%,0.00%
-1.2,1.32,0.05,0,,,-1.20%,1.32%,0.05%,0.00%
2.8,1.72,2.67,0,,,2.80%,1.72%,2.67%,0.00%
1.55,-2.36,0.5,0,,,1.55%,-2.36%,0.50%,0.00%
4.03,0.83,-0.23,0,,,4.03%,0.83%,-0.23%,0.00%
1.29,-0.33,0.1,0,,,1.29%,-0.33%,0.10%,0.00%
5.57,0.31,0.95,0,,,5.57%,0.31%,0.95%,0.00%
1.18,1.52,3.53,0.01,,,1.18%,1.52%,3.53%,0.01%
0.78,0.61,-0.83,0.01,,,0.78%,0.61%,-0.83%,0.01%
-1.76,-1.17,3.56,0.01,,,-1.76%,-1.17%,3.56%,0.01%
2.73,0.54,1.58,0.01,,,2.73%,0.54%,1.58%,0.01%
2.55,0.48,1.3,0.01,,,2.55%,0.48%,1.30%,0.01%
0.79,-2.72,-0.12,0,,,0.79%,-2.72%,-0.12%,0.00%
3.89,0.64,0.59,0,,,3.89%,0.64%,0.59%,0.00%
-6.19,0.09,-1.06,0.01,,,-6.19%,0.09%,-1.06%,0.01%
-0.85,-0.41,-0.77,0,,,-0.85%,-0.41%,-0.77%,0.00%
3.11,-0.66,1.12,0,,,3.11%,-0.66%,1.12%,0.00%
4.42,-1.86,0.43,0,,,4.42%,-1.86%,0.43%,0.00%
5.05,2.06,-0.94,0,,,5.05%,2.06%,-0.94%,0.00%
0.74,-0.6,1.61,0,,,0.74%,-0.60%,1.61%,0.00%
-0.28,-0.17,-0.46,0,,,-0.28%,-0.17%,-0.46%,0.00%
11.35,3.3,0.12,0,,,11.35%,3.30%,0.12%,0.00%
